Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
AC004824.2	47.04	protein_coding	1	17329012	17331796	2784
AC004832.1	51.82	miRNA	22	30411646	30411755	109
AC004837.1	38.64	miRNA	7	39685011	39685098	87
AC004837.3	56.38	processed_pseudogene	7	39609717	39610280	563
AC004837.4	57.27	antisense	7	39609610	39610290	680
AC004837.5	39.41	antisense	7	39700341	39703296	2955
AC004840.8	57.47	lincRNA	7	2384121	2388597	4476
AC004840.9	53.38	lincRNA	7	2437763	2447850	10087
AC004846.1	60.47	miRNA	14	73208378	73208463	85
AC004850.1	31.91	miRNA	7	38704222	38704315	93
AC004851.1	65.38	miRNA	7	74571347	74571424	77
AC004854.4	49.87	antisense	7	44848416	44849568	1152
AC004854.5	45.08	processed_pseudogene	7	44919669	44920329	660
AC004862.6	35.97	antisense	7	80330192	80391453	61261
AC004866.1	38.46	processed_pseudogene	7	81335106	81335183	77
AC004866.3	48.03	unprocessed_pseudogene	7	81431731	81432796	1065
AC004869.2	42.64	lincRNA	7	46477822	46481578	3756
AC004869.3	41.44	lincRNA	7	46476457	46477940	1483
AC004870.3	39.95	lincRNA	7	47000620	47079128	78508
AC004870.4	37.26	processed_transcript	7	46969702	47027481	57779
AC004870.5	62.93	processed_pseudogene	7	47052793	47053674	881
AC004875.1	25.58	miRNA	7	121574669	121574754	85
AC004878.2	51.40	antisense	7	75225433	75234310	8877
AC004878.8	50.35	antisense	7	75232928	75233924	996
AC004893.10	49.39	processed_pseudogene	7	98998538	98999930	1392
AC004893.11	46.84	antisense	7	99013165	99048240	35075
AC004895.1	58.14	miRNA	7	6185275	6185360	85
AC004895.4	46.87	lincRNA	7	6081103	6093085	11982
AC004899.3	40.69	processed_pseudogene	7	48846426	48852898	6472
AC004901.1	38.53	lincRNA	7	46890625	47049678	159053
AC004906.3	47.73	antisense	7	2944035	2947091	3056
AC004911.2	59.59	processed_pseudogene	7	145269514	145270384	870
AC004915.1	61.76	miRNA	7	120009634	120009701	67
AC004920.2	44.52	processed_pseudogene	7	50843578	50843732	154
AC004920.3	41.60	lincRNA	7	50839363	50841992	2629
AC004924.1	38.93	miRNA	11	67933214	67933362	148
AC004938.5	46.10	processed_pseudogene	7	44511025	44511332	307
AC004941.3	45.87	antisense	7	149398204	149401456	3252
AC004941.5	44.30	processed_pseudogene	7	149321865	149322092	227
AC004943.1	87.65	miRNA	16	72787693	72787773	80
AC004945.1	55.65	processed_pseudogene	7	79353410	79354392	982
AC004947.2	42.63	lincRNA	7	26551822	26557200	5378
AC004951.5	57.33	transcribed_unprocessed_pseudogene	7	43984994	43990207	5213
AC004951.6	52.89	lincRNA	7	44004046	44007866	3820
AC004953.1	52.19	protein_coding	7	101635218	101638685	3467
AC004967.7	46.12	unprocessed_pseudogene	7	97969005	97972254	3249
AC004969.1	32.14	miRNA	7	90171341	90171424	83
AC004980.1	18.95	miRNA	7	76697502	76697654	152
AC004980.10	43.26	processed_pseudogene	7	76650401	76650897	496
AC004980.11	52.44	unprocessed_pseudogene	7	76533703	76540390	6687
AC004980.2	18.95	miRNA	CHR_HSCHR7_2_CTG4_4	76685318	76685470	152
AC004980.7	41.83	transcribed_unprocessed_pseudogene	7	76549360	76627982	78622
AC004980.8	35.34	unprocessed_pseudogene	7	76521611	76522074	463
AC004980.9	44.72	unprocessed_pseudogene	7	76524515	76532692	8177
AC004984.1	42.47	miRNA	7	3840518	3840590	72
AC004985.12	54.60	transcribed_unprocessed_pseudogene	7	43961590	43973325	11735
AC004987.10	65.94	processed_pseudogene	7	39833286	39833793	507
AC004987.9	56.10	processed_pseudogene	7	39833571	39834718	1147
AC004988.1	37.99	antisense	7	40538127	40546928	8801
AC005000.1	46.43	miRNA	X	115703812	115703867	55
AC005007.3	47.91	processed_pseudogene	7	11006399	11006876	477
AC005008.2	37.44	lincRNA	7	81175508	81199115	23607
AC005008.3	40.20	processed_pseudogene	7	81191398	81192009	611
AC005009.1	33.44	antisense	7	86775081	86776022	941
AC005009.2	40.33	antisense	7	86784226	86786670	2444
AC005013.5	62.54	lincRNA	7	28957667	28959345	1678
AC005014.5	57.86	processed_pseudogene	7	16583782	16586757	2975
AC005017.2	47.55	processed_pseudogene	7	28279211	28279700	489
AC005019.2	44.53	processed_pseudogene	7	13871856	13872513	657
AC005019.3	36.89	lincRNA	7	13854355	13859025	4670
AC005020.1	47.06	miRNA	7	99586915	99586999	84
AC005027.3	40.40	sense_overlapping	7	41667168	41705335	38167
AC005033.6	40.96	processed_pseudogene	2	74618856	74620979	2123
AC005034.2	64.01	processed_pseudogene	2	75598071	75598559	488
AC005037.1	59.82	processed_pseudogene	2	200844240	200845461	1221
AC005037.2	30.70	miRNA	2	200843186	200843299	113
AC005037.3	39.60	antisense	2	200963263	201009102	45839
AC005037.4	43.91	processed_pseudogene	2	201066691	201067191	500
AC005037.6	34.90	unprocessed_pseudogene	2	201214653	201214950	297
AC005040.3	42.95	processed_pseudogene	2	106963193	106963674	481
AC005041.11	55.63	processed_pseudogene	2	74413020	74413481	461
AC005042.2	50.75	processed_pseudogene	2	158548425	158549224	799
AC005042.3	37.93	processed_pseudogene	2	158703287	158703460	173
AC005042.4	44.15	antisense	2	158658337	158735002	76665
AC005042.5	44.64	lincRNA	2	158685903	158753775	67872
AC005048.1	36.26	miRNA	7	108036846	108036936	90
AC005052.1	33.98	miRNA	X	119810257	119810359	102
AC005062.2	36.82	sense_overlapping	7	19918981	20140453	221472
AC005071.1	67.02	miRNA	7	100220027	100220120	93
AC005071.2	66.67	miRNA	7	100372544	100372609	65
AC005076.5	47.90	antisense	7	87151423	87152420	997
AC005077.12	43.95	transcribed_unprocessed_pseudogene	7	76090431	76108779	18348
AC005077.14	68.35	processed_pseudogene	7	76071469	76074963	3494
AC005077.5	54.56	transcribed_unprocessed_pseudogene	7	76173733	76177205	3472
AC005077.7	40.64	unprocessed_pseudogene	7	76117725	76132187	14462
AC005077.8	46.93	processed_pseudogene	7	76113026	76113400	374
AC005077.9	46.36	unprocessed_pseudogene	7	76108434	76108763	329
AC005082.12	46.58	lincRNA	7	23206013	23208045	2032
AC005083.1	40.74	processed_transcript	7	20217577	20221700	4123
AC005086.1	50.00	pseudogene	7	102188599	102188828	229
AC005086.2	47.51	pseudogene	7	102186819	102187039	220
AC005086.3	54.59	pseudogene	7	102161120	102161337	217
AC005088.1	55.81	miRNA	7	102238321	102238406	85
AC005094.2	45.10	processed_pseudogene	7	21400920	21401613	693
AC005102.1	56.99	processed_pseudogene	7	75835663	75836141	478
AC005104.3	38.02	antisense	2	241351340	241353104	1764
AC005105.2	53.41	processed_pseudogene	7	28615097	28615888	791
AC005150.1	38.81	lincRNA	4	162740668	162742048	1380
AC005150.2	29.89	miRNA	4	162742591	162742677	86
AC005150.3	60.29	miRNA	4	162709588	162709655	67
AC005152.3	39.76	lincRNA	17	72021851	72034092	12241
AC005154.6	42.17	processed_transcript	7	30516309	30594809	78500
AC005154.7	50.32	processed_pseudogene	7	30523143	30524535	1392
AC005154.8	43.54	processed_pseudogene	7	30544053	30544431	378
AC005158.1	37.74	miRNA	7	42218409	42218514	105
AC005159.1	32.56	miRNA	7	82290077	82290162	85
AC005160.3	38.95	sense_intronic	7	40775558	40785217	9659
AC005161.1	43.75	miRNA	7	110928318	110928397	79
AC005162.4	41.80	antisense	7	29080284	29082527	2243
AC005162.5	42.52	antisense	7	28987028	28988899	1871
AC005176.1	42.86	processed_pseudogene	19	39631300	39631446	146
AC005176.2	44.23	transcribed_unprocessed_pseudogene	19	39638685	39642401	3716
AC005176.3	45.05	processed_pseudogene	19	39644502	39644612	110
AC005178.1	36.14	processed_pseudogene	5	133720495	133720934	439
AC005187.1	32.84	miRNA	4	110298484	110298550	66
AC005189.6	45.48	processed_pseudogene	7	43767290	43767599	309
AC005195.1	11.54	miRNA	5	133625845	133625948	103
AC005197.2	47.85	antisense	19	18881680	18883376	1696
AC005204.1	37.00	miRNA	19	42673581	42673680	99
AC005220.3	41.85	antisense	20	53940160	53942508	2348
AC005224.2	45.80	lincRNA	17	14210488	14217922	7434
AC005227.1	28.17	miRNA	14	72070845	72070915	70
AC005229.1	56.00	miRNA	7	148730829	148730928	99
AC005229.5	50.38	processed_pseudogene	7	148580401	148580799	398
AC005229.7	57.70	processed_pseudogene	7	148637179	148637587	408
AC005235.1	35.84	lincRNA	2	198299363	198375097	75734
AC005237.2	65.30	processed_pseudogene	2	241118725	241118943	218
AC005237.4	48.93	antisense	2	241015599	241064116	48517
AC005253.2	51.95	antisense	19	18557775	18561560	3785
AC005253.4	56.55	antisense	19	18568506	18569375	869
AC005255.3	40.74	processed_pseudogene	19	14792318	14792533	215
AC005255.5	46.44	unprocessed_pseudogene	19	14852032	14852944	912
AC005255.6	47.63	unprocessed_pseudogene	19	14863786	14864715	929
AC005256.1	66.67	lincRNA	19	1748056	1748745	689
AC005262.2	59.23	antisense	19	3121116	3122128	1012
AC005262.3	64.69	antisense	19	3118665	3119304	639
AC005262.4	57.33	processed_pseudogene	19	3130717	3131398	681
AC005264.2	53.60	antisense	19	3141576	3155175	13599
AC005276.1	38.49	lincRNA	7	125917871	125933832	15961
AC005281.1	38.48	lincRNA	7	12496429	12541910	45481
AC005281.2	58.36	antisense	7	12570125	12571392	1267
AC005284.1	27.03	miRNA	17	11053788	11053935	147
AC005288.1	40.00	miRNA	17	39297405	39297489	84
AC005300.5	49.33	processed_pseudogene	22	17192936	17193308	372
AC005301.8	46.31	lincRNA	22	16746869	16748645	1776
AC005304.1	38.49	lincRNA	17	13932720	13940594	7874
AC005306.3	62.78	processed_transcript	19	1989401	1990370	969
AC005307.1	47.97	lincRNA	19	28418483	28429490	11007
AC005307.3	42.75	lincRNA	19	28435388	28727777	292389
AC005324.6	53.59	antisense	17	15735023	15749192	14169
AC005324.7	41.33	lincRNA	17	15761614	15763769	2155
AC005329.7	63.03	antisense	19	1392170	1396467	4297
AC005330.2	60.05	lincRNA	19	1321225	1322846	1621
AC005336.4	43.04	processed_pseudogene	19	15910582	15911824	1242
AC005336.5	62.09	processed_pseudogene	19	15902300	15903238	938
AC005339.2	50.98	antisense	19	4654964	4655524	560
AC005351.1	41.73	processed_pseudogene	5	145997218	145998003	785
AC005355.1	47.67	lincRNA	5	134436711	134492519	55808
AC005355.2	52.54	lincRNA	5	134506552	134509229	2677
AC005355.3	42.77	TEC	5	134522613	134523096	483
AC005356.1	60.67	lincRNA	16	4324667	4328340	3673
AC005357.1	29.90	processed_pseudogene	19	27983032	27983332	300
AC005358.3	39.44	antisense	17	12671862	12706135	34273
AC005363.11	56.20	lincRNA	16	1971655	1971896	241
AC005363.9	50.43	transcribed_processed_pseudogene	16	1963745	1964095	350
AC005375.1	34.67	miRNA	17	13500254	13500328	74
AC005382.1	38.89	miRNA	19	32477284	32477355	71
AC005387.2	52.91	antisense	19	18532908	18536188	3280
AC005387.3	61.96	antisense	19	18531613	18532632	1019
AC005391.2	61.00	antisense	19	928259	928817	558
AC005392.13	40.30	lincRNA	19	43153279	43160862	7583
AC005394.1	42.84	lincRNA	19	28602379	28648303	45924
AC005412.1	60.00	miRNA	17	29301154	29301228	74
AC005477.1	36.70	protein_coding	14	71965306	71966899	1593
AC005480.1	48.41	protein_coding	14	74003369	74003777	408
AC005481.5	54.46	antisense	7	157614023	157618765	4742
AC005487.2	40.68	lincRNA	7	108598375	108614267	15892
AC005488.11	50.42	unprocessed_pseudogene	7	72969814	72971727	1913
AC005498.3	47.19	lincRNA	19	56536156	56538575	2419
AC005498.4	32.04	lincRNA	19	56535299	56535763	464
AC005510.3	55.28	unprocessed_pseudogene	4	108415220	108416639	1419
AC005513.1	44.71	miRNA	19	13375929	13376013	84
AC005514.2	46.63	TEC	19	3371395	3371602	207
AC005517.3	48.47	processed_pseudogene	17	15506866	15507354	488
AC005518.2	36.57	sense_intronic	7	147671711	147673143	1432
AC005519.4	52.46	sense_overlapping	14	74289127	74294425	5298
AC005522.6	49.42	processed_pseudogene	7	76361768	76362113	345
AC005522.7	50.50	lincRNA	7	76972679	76976961	4282
AC005523.2	59.50	antisense	19	4791745	4795559	3814
AC005523.3	48.39	lincRNA	19	4785120	4791207	6087
AC005532.5	40.38	processed_transcript	7	7255154	7277779	22625
AC005534.6	43.88	processed_pseudogene	7	156633355	156633787	432
AC005534.8	39.56	antisense	7	156654185	156657693	3508
AC005537.2	39.76	lincRNA	7	42954135	43059550	105415
AC005538.1	50.46	miRNA	2	234012157	234012265	108
AC005538.3	43.51	TEC	2	233865496	233867359	1863
AC005538.5	41.45	antisense	2	233946146	233955435	9289
AC005539.2	40.09	processed_pseudogene	2	157961410	157962888	1478
AC005540.3	70.23	antisense	2	190880797	190882059	1262
AC005546.2	51.19	lincRNA	19	13131571	13132410	839
AC005549.1	46.02	miRNA	17	34174220	34174332	112
AC005549.2	69.23	miRNA	17	34183084	34183135	51
AC005550.3	34.20	antisense	7	15667947	15681980	14033
AC005550.5	28.99	lincRNA	7	15689075	15690854	1779
AC005559.3	75.89	processed_pseudogene	19	590430	591300	870
AC005562.1	45.64	processed_transcript	17	30576464	30672789	96325
AC005578.3	52.25	TEC	19	4246339	4247358	1019
AC005588.2	46.91	processed_pseudogene	7	153968665	153968826	161
AC005592.1	40.27	lincRNA	5	142745600	142760998	15398
AC005592.2	44.48	antisense	5	142325293	142672001	346708
AC005592.3	29.82	lincRNA	5	142703782	142705421	1639
AC005593.2	56.12	TEC	5	131797415	131797929	514
AC005597.1	53.85	antisense	19	30219666	30228715	9049
AC005606.14	60.04	lincRNA	16	1984877	1990357	5480
AC005606.15	57.56	lincRNA	16	1997654	1998374	720
AC005609.16	38.85	antisense	5	140788457	140822193	33736
AC005609.17	37.48	antisense	5	140878073	140882642	4569
AC005609.18	55.63	antisense	5	140875346	140875922	576
AC005609.19	48.82	antisense	5	140849105	140849696	591
AC005609.2	31.32	processed_pseudogene	5	140764110	140764821	711
AC005609.20	28.41	antisense	5	140867513	140867959	446
AC005614.3	34.71	antisense	19	40090754	40094406	3652
AC005614.5	37.98	processed_transcript	19	40048757	40090925	42168
AC005616.1	43.69	lincRNA	19	28491864	28632728	140864
AC005616.2	41.31	lincRNA	19	28509238	28518728	9490
AC005618.6	45.04	lincRNA	5	141326210	141329357	3147
AC005618.8	49.10	antisense	5	141350109	141350662	553
AC005618.9	51.09	antisense	5	141427295	141427752	457
AC005621.1	43.02	miRNA	19	32500856	32500941	85
AC005624.2	53.65	lincRNA	19	2458935	2462185	3250
AC005625.1	67.10	antisense	19	38361795	38362484	689
AC005626.3	50.74	processed_pseudogene	19	41639659	41640602	943
AC005631.1	53.41	miRNA	7	152439221	152439308	87
AC005668.1	54.37	miRNA	17	6296644	6296746	102
AC005682.5	43.70	processed_transcript	7	22854178	22861402	7224
AC005682.6	44.24	unprocessed_pseudogene	7	22863874	22881350	17476
AC005682.7	46.99	processed_pseudogene	7	22881893	22882390	497
AC005686.1	36.46	miRNA	7	34312950	34313045	95
AC005701.1	33.71	miRNA	17	11741376	11741464	88
AC005702.1	64.63	miRNA	17	60042361	60042442	81
AC005702.2	65.38	miRNA	17	60042805	60042882	77
AC005702.3	65.82	miRNA	17	60042694	60042772	78
AC005702.4	67.07	miRNA	17	60042546	60042627	81
AC005703.2	44.07	lincRNA	17	15276562	15279477	2915
AC005703.3	43.42	lincRNA	17	15267461	15272290	4829
AC005722.4	56.12	processed_pseudogene	17	19755244	19756207	963
AC005725.1	40.00	miRNA	17	11267305	11267379	74
AC005730.2	51.74	transcribed_processed_pseudogene	17	20056287	20056630	343
AC005740.3	48.47	processed_pseudogene	5	141896168	141896689	521
AC005740.4	55.61	processed_pseudogene	5	142036707	142037125	418
AC005740.5	40.15	antisense	5	141970637	141982687	12050
AC005740.6	48.28	antisense	5	141952419	141953375	956
AC005741.2	38.19	processed_pseudogene	5	130598348	130598779	431
AC005752.10	38.45	processed_pseudogene	5	141259235	141261364	2129
AC005753.1	49.03	TEC	5	141825708	141826325	617
AC005754.7	38.76	antisense	5	141100242	141174391	74149
AC005754.8	32.26	lincRNA	5	141118680	141120765	2085
AC005757.6	53.40	antisense	19	45135993	45136977	984
AC005757.7	53.15	lincRNA	19	45149750	45150605	855
AC005758.1	40.35	transcribed_unprocessed_pseudogene	19	27918943	27929370	10427
AC005772.2	41.12	lincRNA	17	15014805	15052276	37471
AC005775.2	59.93	antisense	19	490046	507833	17787
AC005776.1	37.93	processed_pseudogene	19	15338948	15339237	289
AC005777.3	64.71	unprocessed_pseudogene	19	3775996	3776182	186
AC005779.2	49.57	protein_coding	19	45179822	45202444	22622
AC005780.1	42.27	lincRNA	19	28316705	28386204	69499
AC005783.1	52.81	miRNA	19	4726291	4726379	88
AC005785.2	64.51	processed_transcript	19	15379076	15381194	2118
AC005785.5	39.46	TEC	19	15383202	15383832	630
AC005786.3	40.91	processed_pseudogene	19	3568120	3568273	153
AC005786.5	55.93	lincRNA	19	3558015	3558486	471
AC005786.6	45.75	TEC	19	3567278	3567959	681
AC005786.7	60.24	antisense	19	3544199	3557569	13370
AC005789.11	53.09	lincRNA	19	38398181	38399881	1700
AC005789.9	70.19	antisense	19	38385522	38386759	1237
AC005794.1	48.26	processed_pseudogene	19	41652676	41652963	287
AC005795.1	50.07	processed_pseudogene	19	41506152	41506898	746
AC005796.2	51.96	TEC	19	17871273	17871705	432
AC005808.3	43.87	lincRNA	20	53608354	53634590	26236
AC005822.1	51.45	processed_pseudogene	17	16616848	16617881	1033
AC005828.1	54.12	miRNA	17	63362009	63362093	84
AC005838.2	57.51	unprocessed_pseudogene	17	15588852	15589084	232
AC005863.1	43.55	lincRNA	17	14767583	14780203	12620
AC005863.2	38.44	lincRNA	17	14834638	14900554	65916
AC005884.1	49.68	processed_pseudogene	17	61069871	61070341	470
AC005901.1	60.17	miRNA	17	61485684	61485801	117
AC005915.1	42.22	TEC	5	127073587	127075604	2017
AC005926.1	35.11	miRNA	X	30315085	30315178	93
AC005932.1	55.55	antisense	19	18940322	18946831	6509
AC005943.6	70.27	TEC	19	1576939	1577086	147
AC005944.2	53.99	antisense	19	3052910	3053724	814
AC005954.3	49.66	sense_intronic	19	3754620	3756659	2039
AC005954.4	55.27	antisense	19	3753840	3756517	2677
AC006000.5	36.02	lincRNA	7	13339201	13365049	25848
AC006003.3	49.55	sense_intronic	7	157739010	157740456	1446
AC006004.1	37.62	antisense	7	147080934	147097609	16675
AC006007.1	34.37	lincRNA	7	145675882	145681369	5487
AC006011.4	50.43	processed_pseudogene	2	127846736	127847084	348
AC006014.7	41.40	transcribed_unprocessed_pseudogene	7	75474707	75486108	11401
AC006014.8	50.95	transcribed_unprocessed_pseudogene	7	75391955	75395434	3479
AC006019.3	52.50	antisense	7	154055585	154059561	3976
AC006019.4	48.14	antisense	7	154092201	154096043	3842
AC006022.4	58.51	processed_pseudogene	7	30742431	30742818	387
AC006026.1	26.92	miRNA	7	23669277	23669354	77
AC006026.10	52.63	processed_pseudogene	7	23585062	23586355	1293
AC006026.12	48.33	processed_pseudogene	7	23655682	23655861	179
AC006026.13	56.93	antisense	7	23680195	23680786	591
AC006026.9	37.49	processed_pseudogene	7	23562459	23564261	1802
AC006028.11	39.80	processed_pseudogene	7	2835621	2836022	401
AC006033.22	69.25	processed_pseudogene	7	38311383	38311808	425
AC006037.2	47.88	lincRNA	2	234109081	234109481	400
AC006041.1	32.80	lincRNA	7	15841297	15842360	1063
AC006042.6	43.44	antisense	7	8114025	8116561	2536
AC006042.7	43.49	antisense	7	7958183	7969903	11720
AC006042.8	38.76	processed_pseudogene	7	7980312	7982228	1916
AC006050.2	54.33	processed_transcript	17	30573471	30577000	3529
AC006070.12	56.99	unprocessed_pseudogene	17	41186944	41187136	192
AC006076.1	44.18	lincRNA	20	53799823	53801318	1495
AC006077.3	63.46	TEC	5	134905235	134905691	456
AC006077.4	44.61	processed_pseudogene	5	134863091	134863433	342
AC006115.1	55.29	miRNA	19	56719203	56719287	84
AC006115.6	50.50	processed_pseudogene	19	56793048	56793249	201
AC006116.1	56.98	miRNA	19	56396316	56396401	85
AC006116.12	34.65	antisense	19	56387412	56388424	1012
AC006116.13	43.52	transcribed_processed_pseudogene	19	56342432	56343419	987
AC006116.14	46.54	processed_pseudogene	19	56338288	56338648	360
AC006116.15	48.41	sense_intronic	19	56347081	56348183	1102
AC006116.17	42.19	antisense	19	56314703	56341287	26584
AC006116.19	31.13	sense_intronic	19	56311928	56312486	558
AC006116.20	45.68	protein_coding	19	56272769	56310450	37681
AC006116.21	40.14	lincRNA	19	56354493	56368053	13560
AC006116.22	44.51	processed_pseudogene	19	56319790	56322310	2520
AC006116.24	36.66	sense_intronic	19	56376704	56377284	580
AC006116.27	42.20	transcribed_processed_pseudogene	19	56377037	56377792	755
AC006126.3	49.14	antisense	19	45187388	45216933	29545
AC006126.4	53.29	lincRNA	19	45238632	45245370	6738
AC006128.2	64.96	TEC	19	15398696	15400356	1660
AC006129.1	45.10	lincRNA	19	41531206	41532174	968
AC006129.2	41.63	lincRNA	19	41545192	41555462	10270
AC006129.3	45.83	TEC	19	41551568	41552274	706
AC006130.1	58.14	miRNA	19	2872345	2872430	85
AC006130.3	42.58	antisense	19	2847227	2858716	11489
AC006130.4	50.23	processed_pseudogene	19	2874950	2875592	642
